WB_Code,Year,Avg_Work_Hours_Per_Year
AUS,2000,1767.0
AUS,2001,1736.0
AUS,2002,1728.0
AUS,2003,1723.0
AUS,2004,1721.0
AUS,2005,1719.0
AUS,2006,1709.0
AUS,2007,1709.0
AUS,2008,1709.0
AUS,2009,1681.0
AUS,2013,1680.0
AUS,2014,1672.0
AUS,2015,1670.0
AUS,2019,1651.0
AUT,2000,1639.9
AUT,2001,1629.0
AUT,2002,1626.0
AUT,2003,1618.5
AUT,2004,1623.1
AUT,2005,1602.9
AUT,2006,1587.7
AUT,2007,1579.4
AUT,2008,1574.2
AUT,2009,1531.8
AUT,2010,1528.4
AUT,2011,1538.1
AUT,2012,1520.1
AUT,2013,1512.0
AUT,2014,1510.2
AUT,2015,1495.1
AUT,2016,1507.2
AUT,2017,1499.0
AUT,2018,1505.2
AUT,2019,1515.4
AUT,2020,1401.2
AUT,2021,1443.3
AUT,2022,1444.8
AUT,2023,1448.0
BEL,2000,1589.1
BEL,2001,1581.2
BEL,2002,1593.6
BEL,2003,1598.2
BEL,2004,1587.8
BEL,2005,1577.7
BEL,2006,1591.6
BEL,2007,1593.7
BEL,2008,1582.5
BEL,2009,1564.2
BEL,2010,1578.2
BEL,2011,1594.7
BEL,2012,1592.5
BEL,2013,1591.5
BEL,2014,1587.9
BEL,2015,1582.1
BEL,2016,1582.2
BEL,2017,1584.4
BEL,2018,1587.5
BEL,2019,1587.4
BEL,2020,1459.0
BEL,2021,1551.0
BEL,2022,1590.0
BEL,2023,1593.3
BGR,2000,1640.0
BGR,2001,1652.0
BGR,2002,1651.0
BGR,2003,1641.0
BGR,2004,1664.0
BGR,2005,1659.0
BGR,2006,1654.0
BGR,2007,1655.0
CAN,2000,1789.0
CAN,2001,1775.0
CAN,2002,1757.0
CAN,2003,1747.0
CAN,2004,1757.0
CAN,2005,1747.0
CAN,2006,1745.0
CAN,2007,1745.0
CAN,2008,1742.0
CAN,2009,1710.0
CAN,2010,1715.0
CAN,2011,1711.0
CAN,2012,1721.0
CAN,2013,1714.0
CAN,2014,1709.0
CAN,2015,1710.0
CHE,2000,1712.7
CHE,2001,1672.8
CHE,2002,1651.3
CHE,2003,1664.5
CHE,2004,1695.0
CHE,2005,1690.0
CHE,2006,1679.2
CHE,2007,1668.9
CHE,2008,1659.5
CHE,2009,1650.8
CHE,2010,1611.2
CHE,2011,1608.3
CHE,2012,1592.6
CHE,2013,1572.7
CHE,2014,1564.5
CHE,2015,1576.6
CHE,2016,1577.0
CHE,2017,1559.1
CHE,2018,1551.4
CHE,2019,1549.1
CHE,2020,1498.8
CHE,2021,1532.5
CHE,2022,1536.6
CHE,2023,1529.6
CHL,2015,1999.0
CHL,2016,1983.0
CHL,2017,1968.0
CHL,2018,1961.0
CHL,2019,1940.0
CHL,2020,1828.0
CHL,2021,1921.0
CHL,2022,1966.0
COL,2000,2347.0
COL,2001,2347.0
COL,2002,2438.0
COL,2003,2419.0
COL,2004,2404.0
COL,2005,2416.0
COL,2006,2445.0
COL,2007,2473.0
COL,2008,2503.0
COL,2009,2461.0
COL,2010,2454.0
COL,2011,2435.0
COL,2012,2420.0
COL,2013,2413.0
COL,2014,2405.0
CRI,2009,2348.0
CRI,2010,2243.1
CRI,2011,2285.3
CRI,2012,2233.4
CRI,2013,2140.6
CRI,2014,2121.7
CRI,2015,2148.2
CRI,2016,2204.7
CRI,2017,2178.9
CRI,2018,2121.0
CRI,2019,2059.6
CRI,2020,1913.2
CRI,2021,2073.3
CRI,2022,2149.0
CYP,2000,1926.0
CYP,2001,1951.0
CYP,2002,1923.0
CYP,2003,1916.0
CYP,2004,1879.0
CYP,2005,1847.0
CYP,2006,1833.0
CYP,2007,1862.0
CZE,2000,1900.4
CZE,2001,1823.3
